Stdout/Stderr: 2025-04-12 17:35:12,374 - llm_consortium - DEBUG - llm_consortium module is being imported and logging reconfigured to DEBUG for file.
2025-04-12 17:35:12,377 - llm_consortium - DEBUG - llm_consortium module finished loading
2025-04-12 17:35:12,381 - llm_consortium - DEBUG - Registering saved consortium models
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: gbloom
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: bigdogs
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: gemclaude
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: oracle
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: gems
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: deepllama
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: gem2
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: deep2
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: bigdogs-c1
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: gbloom-c1
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: oracle-c1
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: madmax-c1
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: madmax
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: haikuflash
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: haikuflash-c2
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: gemclaude-c1
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: haikugem
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: big-claudes
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: reasoners-minimax
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: reasoners-minimax-c1
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: haiku-n3-sonnet-old-sonnet-new
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: gem-pro-sonnet-new-arb-gem2flash-lite
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: gem-pro-sonnet-new-arb-gem2flash
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: gem2pro-haiku-deepseek-minimax-arb-gem2flash
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: gem2pro-haiku-deepseek-minimax-arb-gem2pro
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: flash-haiku-flash
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: flash-haiku-deepseekr170b-flash
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: BIGBRAIN
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: LITTLEBRAIN
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: BIGREASON
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: quick-think-i3
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: quick-think-i
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: quick-think
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: o3-haiku-dsr1-CT1
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: o3-haiku-dsr1-CT09
2025-04-12 17:35:12,382 - llm_consortium - DEBUG - Registered consortium model: quick-think-i4
